,DetWake Periods,DetSleep Consistency,DetRespiratory Rate,DetTotal Cycle Sleep Time (hours),DetREM Percentage,DetDeep Sleep Percentage,DetRestorative Sleep (hours),DetRestorative Sleep (%)
55,8.16333634951203,61.0,18.9551,4.6,11.6,7.6,0.91,19.2
56,13.0,60.0,15.3516,7.52,29.7,10.9,3.39,40.6
57,8.0,70.0,15.1758,6.37,36.0,13.6,3.36,49.6
58,6.0,74.0,14.8828,8.19,33.2,10.2,3.83,43.4
59,8.0,73.0,16.2305,7.65,34.9,11.6,3.85,46.5
60,13.92069914723831,81.0,15.8789,7.08,36.5,19.8,4.24,56.2
61,17.0,36.0,15.2344,7.38,30.4,13.1,3.68,43.6
62,15.0,56.0,15.790999999999999,7.91,23.1,14.9,3.39,38.1
63,19.0,67.37967967040439,15.6738,4.7,33.0,21.9,3.19,54.9
64,18.0,68.38493393454053,14.8242,5.56,34.2,23.9,3.89,58.1
65,16.0,65.4234608222275,14.9414,7.36,32.5,14.9,3.81,47.4
66,14.0,76.0,14.2969,5.24,26.6,19.8,2.72,46.4
67,11.0,35.0,16.5234,2.85,19.2,23.3,1.53,42.5
68,10.0,74.0,17.5195,7.62,17.4,15.7,2.66,33.0
69,21.0,75.0,17.6074,7.05,26.6,21.2,3.81,47.8
70,20.0,70.0,17.5195,9.67,27.9,16.3,4.12,44.2
71,13.998085098285436,74.0,17.5195,9.45,22.2,21.0,4.28,43.3
72,14.0,77.0,17.8125,6.23,21.2,14.9,2.62,36.1
73,16.0,42.0,17.7832,7.5,17.9,18.4,2.98,36.3
74,22.0,62.0,17.5781,9.56,21.8,19.4,4.33,41.3
75,10.0,54.0,15.4395,7.96,21.9,13.8,2.98,35.6
76,8.0,67.0,15.9375,6.04,33.8,17.4,3.33,51.2
77,11.0,62.0,15.6445,7.96,30.2,17.3,4.14,47.5
78,15.0,42.0,15.5566,8.88,23.1,17.7,3.29,40.8
79,9.0,61.0,14.9414,6.8,27.9,17.4,3.07,45.3
80,10.0,72.0,16.2891,6.22,24.7,21.3,3.13,46.0
81,9.0,57.0,15.8789,8.89,21.1,12.4,2.7,33.5
82,24.0,63.84195587500652,17.6953,8.14,23.9,17.6,3.98,41.5
83,17.0,68.3023990709664,17.2559,7.31,16.6,20.6,3.32,37.1
84,12.88539680242711,83.0,14.9414,5.87,30.4,19.3,3.09,49.7
85,6.0,73.0,16.5234,5.11,34.9,16.6,2.82,51.6
86,8.0,71.0,16.4648,7.35,20.8,15.9,2.86,36.7
87,8.0,55.0,16.8164,4.48,26.4,10.8,1.83,37.1
88,15.0,63.0,17.0801,7.89,30.2,15.7,4.04,45.9
89,9.210672616089333,55.0,16.875,5.52,20.5,10.7,1.78,31.2
90,16.0,67.0,16.1719,6.5,32.4,24.3,4.44,56.7
91,8.0,69.09190128001381,17.5781,6.83,34.2,21.0,4.18,55.2
92,11.0,66.61722122000378,17.2266,5.64,33.6,19.0,3.43,52.7
93,13.0,66.229641779569,17.5781,4.1,31.4,19.6,2.58,51.0
94,6.0,72.0,17.0801,6.04,42.8,22.8,4.26,65.6
95,8.0,70.0,15.6445,6.31,27.6,21.0,3.26,48.7
96,9.01021772111573,61.0,15.8203,7.9,29.1,23.1,3.41,52.2
97,12.0,48.0,15.790999999999999,10.77,27.7,20.8,4.67,48.5
98,10.0,59.0,15.7031,7.93,27.8,20.1,4.03,47.9
99,7.0,68.0,16.4062,7.59,22.8,16.1,3.73,38.9
100,7.347846535188985,52.0,15.7031,4.16,21.3,21.7,1.84,43.0
101,7.0,69.0,15.3809,8.36,34.7,24.0,5.23,58.7
102,10.25798801133952,77.0,16.6406,6.91,31.8,15.8,3.4,47.6
